date,sentiment,metro_area,county_code
2020-11-18,-0.1375,Phoenix,04013
2020-11-19,0.41982323232323204,Phoenix,04013
2020-11-20,-0.0829545454545455,Phoenix,04013
2020-11-21,0.0,Phoenix,04013
2020-11-22,0.0,Phoenix,04013
2020-11-23,0.185185185185185,Phoenix,04013
2020-11-24,0.2,Phoenix,04013
2020-11-25,0.0625,Phoenix,04013
2020-11-26,0.20297619047619034,Phoenix,04013
2020-11-27,0.2692464416896235,Phoenix,04013
2020-11-28,0.221517578125,Phoenix,04013
2020-11-29,-0.087987012987013,Phoenix,04013
2020-11-30,-0.025,Phoenix,04013
2020-03-19,0.360794632523148,Dallas,01047
2020-03-20,0.19850161773989913,Dallas,01047
2020-03-21,0.0581473214285713,Dallas,01047
2020-03-22,0.17195454545454542,Dallas,01047
2020-03-23,-0.15173611111111115,Dallas,01047
2020-03-24,0.1341435185185185,Dallas,01047
2020-03-25,0.06284722222222212,Dallas,01047
2020-03-26,0.3280498705163883,Dallas,01047
2020-03-27,0.2585563060451451,Dallas,01047
2020-03-28,0.10239138886155928,Dallas,01047
2020-03-29,0.082161458333333,Dallas,01047
2020-03-30,-0.06188271604938278,Dallas,01047
2020-03-31,0.0,Dallas,01047
2020-04-01,0.05407725412608226,Dallas,01047
2020-04-02,-0.05416666666666675,Dallas,01047
2020-04-03,-0.12683982683982686,Dallas,01047
2020-04-04,0.001692708333333499,Dallas,01047
2020-04-05,0.2270833333333333,Dallas,01047
2020-04-06,0.041666666666666505,Dallas,01047
2020-04-07,-0.3583333333333335,Dallas,01047
2020-04-08,-0.018932291666666597,Dallas,01047
2020-04-09,0.1365476190476192,Dallas,01047
2020-04-10,0.3105744949494947,Dallas,01047
2020-04-11,0.26666666666666644,Dallas,01047
2020-04-12,0.0,Dallas,01047
2020-04-13,-0.0125,Dallas,01047
2020-04-14,0.0,Dallas,01047
2020-04-15,-0.026587301587301337,Dallas,01047
2020-04-16,0.0,Dallas,01047
2020-04-17,0.250077160493827,Dallas,01047
2020-04-18,0.3449999999999998,Dallas,01047
2020-04-19,0.22031250000000002,Dallas,01047
2020-04-20,-0.011111111111111,Dallas,01047
2020-04-21,0.05289115646258501,Dallas,01047
2020-04-22,0.175584415584415,Dallas,01047
2020-04-23,0.09972222222222221,Dallas,01047
2020-04-24,0.419017857142857,Dallas,01047
2020-04-25,0.04796987734487701,Dallas,01047
2020-04-26,0.08333333333333301,Dallas,01047
2020-04-27,0.15234487734487734,Dallas,01047
2020-04-28,0.18576388888888884,Dallas,01047
2020-04-29,0.04810267857142838,Dallas,01047
2020-04-30,0.1713852813852812,Dallas,01047
2020-05-01,0.12711767399267393,Dallas,01047
2020-05-02,0.10509680134680112,Dallas,01047
2020-05-03,0.3171296296296297,Dallas,01047
2020-05-04,0.2399215367965367,Dallas,01047
2020-05-05,0.20513793628246738,Dallas,01047
2020-05-06,0.22819344170084296,Dallas,01047
2020-05-07,0.19299606643356626,Dallas,01047
2020-05-08,0.2605113636363635,Dallas,01047
2020-05-09,0.14419981060606052,Dallas,01047
2020-05-10,0.19985795454545444,Dallas,01047
2020-05-11,0.011082702020201998,Dallas,01047
2020-05-12,0.10902777777777767,Dallas,01047
2020-05-13,0.0477575757575758,Dallas,01047
2020-05-14,-0.0013888888888886665,Dallas,01047
2020-05-15,0.08688512731481468,Dallas,01047
2020-05-16,0.2880475180041151,Dallas,01047
2020-05-17,0.021055871212121335,Dallas,01047
2020-05-18,0.12027918069584735,Dallas,01047
2020-05-19,0.06458333333333334,Dallas,01047
2020-05-20,0.0486742424242422,Dallas,01047
2020-05-21,0.28196022727272724,Dallas,01047
2020-05-22,0.17361111111111116,Dallas,01047
2020-05-23,0.28544612794612784,Dallas,01047
2020-05-24,0.0451041666666668,Dallas,01047
2020-05-25,0.23727272727272702,Dallas,01047
2020-05-26,0.2965277777777775,Dallas,01047
2020-05-27,0.34999999999999987,Dallas,01047
2020-05-28,0.10076388888888883,Dallas,01047
2020-05-29,0.089861111111111,Dallas,01047
2020-05-30,0.28125,Dallas,01047
2020-05-31,0.31526988636363623,Dallas,01047
2020-06-01,-0.1965714285714286,Dallas,01047
2020-06-02,0.04483611626468758,Dallas,01047
2020-06-03,0.13771945646945602,Dallas,01047
2020-06-04,0.12789276695526688,Dallas,01047
2020-06-05,0.5006565656565654,Dallas,01047
2020-06-06,0.14166666666666664,Dallas,01047
2020-06-07,0.11430194805194786,Dallas,01047
2020-06-08,-0.022297604016353896,Dallas,01047
2020-06-09,0.170437109187109,Dallas,01047
2020-06-10,0.019636363636363584,Dallas,01047
2020-06-11,0.10611355619688954,Dallas,01047
2020-06-12,0.1625,Dallas,01047
2020-06-13,0.1433333333333332,Dallas,01047
2020-06-14,0.16483270202020192,Dallas,01047
2020-06-15,-0.016481180856181166,Dallas,01047
2020-06-16,0.2350386986750623,Dallas,01047
2020-06-17,0.09790043290043281,Dallas,01047
2020-06-18,0.1072871572871572,Dallas,01047
2020-06-19,0.27899305555555537,Dallas,01047
2020-06-20,0.11106782106782087,Dallas,01047
2020-06-21,0.07276495109828446,Dallas,01047
2020-06-22,-0.03845880681818188,Dallas,01047
2020-06-23,0.051964609464609526,Dallas,01047
2020-06-24,0.09672123015873002,Dallas,01047
2020-06-25,0.1290773809523808,Dallas,01047
2020-06-26,0.14467798074940924,Dallas,01047
2020-06-27,0.1328463203463202,Dallas,01047
2020-06-28,0.04064153439153422,Dallas,01047
2020-06-29,0.16620323129251685,Dallas,01047
2020-06-30,0.12305555555555545,Dallas,01047
2020-07-01,0.28588203463203465,Dallas,01047
2020-07-02,0.07568854125672282,Dallas,01047
2020-07-03,0.169983565816899,Dallas,01047
2020-07-04,0.23006854256854234,Dallas,01047
2020-07-05,0.159,Dallas,01047
2020-07-06,0.2065142496392495,Dallas,01047
2020-07-07,0.253958333333333,Dallas,01047
2020-07-08,0.44166666666666665,Dallas,01047
2020-07-09,0.16881584445646938,Dallas,01047
2020-07-10,0.15585467772967768,Dallas,01047
2020-07-11,0.15543863964318502,Dallas,01047
2020-07-12,0.20042183195592275,Dallas,01047
2020-07-13,-0.0035718513257575,Dallas,01047
2020-07-14,0.07368638553906401,Dallas,01047
2020-07-15,0.1976651077097506,Dallas,01047
2020-07-16,0.018729707792207752,Dallas,01047
2020-07-17,-0.045416666666666605,Dallas,01047
2020-07-18,0.1437109187109186,Dallas,01047
2020-07-19,0.3167003367003365,Dallas,01047
2020-07-20,0.029166666666667004,Dallas,01047
2020-07-21,0.16472539829961677,Dallas,01047
2020-07-22,0.39710884353741477,Dallas,01047
2020-07-23,0.2537797055375179,Dallas,01047
2020-07-24,0.051116372053872254,Dallas,01047
2020-07-25,0.22452786796536794,Dallas,01047
2020-07-26,0.1259932659932659,Dallas,01047
2020-07-27,0.03888888888888884,Dallas,01047
2020-07-28,0.12651515151515141,Dallas,01047
2020-07-29,0.18218003902662983,Dallas,01047
2020-07-30,0.1770903479236813,Dallas,01047
2020-07-31,0.30660523076310403,Dallas,01047
2020-08-01,0.251190476190476,Dallas,01047
2020-08-02,0.1892883852258851,Dallas,01047
2020-08-03,0.08680803571428564,Dallas,01047
2020-08-04,0.19446849446849435,Dallas,01047
2020-08-05,0.08978635561968878,Dallas,01047
2020-08-06,-0.007470538720538776,Dallas,01047
2020-08-07,0.19444654882154888,Dallas,01047
2020-08-08,0.1706860269360269,Dallas,01047
2020-08-09,0.2706032856032854,Dallas,01047
